ID,ARTICULO,COD. PROV,COSTO,$ VENTA1,$ VENTA 2,MARCA,ITEM,Items,Stock,PROVEEDOR,NRO DE CLIENTE
7469,VARILLA P/FALLEVA,06-30115,3617.083,5426.0,5968.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,1.0,CONTAINER S.R.L.,3638
7470,PLOMADA 400 G TROMPO,303003,7170.919,10756.0,11832.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7471,PUENTE P/FALLEVA,,54.45,82.0,90.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,-24.0,AAA VARIOS,3714
7472,PLOMADA 500 G TROMPO,15-10003,5033.736,7551.0,8306.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,1.0,CONTAINER S.R.L.,3638
7473,TORNILLO ROSCA MADERA 22 X 50 P/CAJA,03-29052,5096.502,7645.0,8409.0,CAJA,TORNILLOS,TORNILLOS,0.0,CONTAINER S.R.L.,3638
7474,REMACHADORA  POP CROSS,9971004,1324.839,1987.0,2186.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,DIST. SAN SEBASTIAN,5771
7475,BISAGRA REV. BRONCEADA,02-38073,780.371,1171.0,1288.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,0.0,CONTAINER S.R.L.,3638
7476,REMACHE POP 5 X 16,108023,49.867000000000004,75.0,82.0,SIN ASIGNAR,TORNILLOS,TORNILLOS,-184.0,FERRETERA DEL NORTE,3600
7477,BARBIJOS  QUIRURJICO 3 TELAS,S000001800012,134.129,201.0,221.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,50.0,YUHMAK S.A.,3721
7478,ACEITE PENETRIT ART 113,180001,524.812,787.0,866.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,-2.0,FERRETERA DEL NORTE,3600
7479,SERRUCHO DE DURLERO,3378,8673.233,13010.0,14311.0,BREMEN QUALITY TOOLS,FERRETERIA,FERRETERIA,3.0,BREMEN ARGENTINA S.A.,4335
7480,ZZZACEITE AEROSOL HAMILTON,S000000601082,535.625,803.0,884.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,7.0,YUHMAK S.A.,3721
7481,MARTILLO Nº 25,158058,11072.303,16608.0,18269.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,1.0,FERRETERA DEL NORTE,3600
7482,ZZSERRUCHO DE 400 MM,260006,2245.275,3368.0,3705.0,black jack,FERRETERIA,FERRETERIA,0.0,FERRETERA DEL NORTE,3600
7483,MARTILLO BOLITA,158063,10837.915,16257.0,17883.0,SIN ASIGNAR,FERRETERIA,FERRETERIA,2.0,FERRETERA DEL NORTE,3600
